port_call_id,voyage_id,port,port_type,call_date,agency_fee,pilotage,towage,port_dues,mooring,canal_transit,currency,usd_fx_rate
PC1000-L,VYG1000,Escravos,load,2022-01-05,9027.95,6664.28,11423.61,16212.0,1564.95,0.0,AED,0.27
PC1000-D,VYG1000,Rotterdam,discharge,2022-01-28,8587.52,5673.86,6004.77,15437.43,2063.18,0.0,USD,1.0
PC1001-L,VYG1001,Kharg Island,load,2022-02-05,12451.89,3668.64,9643.25,7756.92,3026.83,0.0,USD,1.0
PC1001-D,VYG1001,Antwerp,discharge,2022-03-06,8682.65,8825.85,10809.12,7700.19,1038.81,0.0,AED,0.27
PC1002-L,VYG1002,Escravos,load,2022-03-18,11306.81,3903.82,6163.5,18030.95,2800.25,0.0,EUR,1.09
PC1002-D,VYG1002,Qingdao,discharge,2022-04-07,9732.03,6318.82,6535.95,19577.54,1094.61,0.0,EUR,1.09
PC1003-L,VYG1003,Ras Tanura,load,2022-04-20,15272.11,7612.52,4656.06,7552.78,2145.74,0.0,EUR,1.09
PC1003-D,VYG1003,Rotterdam,discharge,2022-05-08,13325.43,6908.73,11790.69,17363.77,2420.76,427586.32,EUR,1.09
PC1004-L,VYG1004,Bonny,load,2022-05-21,13044.3,7283.68,6611.31,17757.95,1058.82,0.0,AED,0.27
PC1004-D,VYG1004,Ningbo,discharge,2022-06-05,9924.52,7775.2,7377.91,7223.33,1555.06,0.0,USD,1.0
PC1005-L,VYG1005,Escravos,load,2022-06-17,13263.21,8050.17,4690.82,5439.02,2387.52,0.0,AED,0.27
PC1005-D,VYG1005,Qingdao,discharge,2022-07-14,17503.33,4658.48,13546.4,18254.17,1843.24,0.0,AED,0.27
PC1006-L,VYG1006,Bonny,load,2022-07-24,16115.58,7091.49,9087.83,11305.93,3435.02,0.0,SGD,0.74
PC1006-D,VYG1006,Singapore,discharge,2022-08-13,15877.69,7516.48,13935.95,12137.09,3409.37,0.0,USD,1.0
PC1007-L,VYG1007,Escravos,load,2022-08-27,16569.37,4255.38,4405.93,11034.32,3558.31,0.0,SGD,0.74
PC1007-D,VYG1007,Ulsan,discharge,2022-09-12,10854.73,7176.06,4059.9,10296.03,2837.06,0.0,USD,1.0
PC1008-L,VYG1008,Kharg Island,load,2022-09-21,9266.58,8351.71,5544.2,18584.75,1643.67,0.0,USD,1.0
PC1008-D,VYG1008,Houston,discharge,2022-10-14,17882.98,6606.4,4827.3,5959.23,1220.68,0.0,USD,1.0
PC1009-L,VYG1009,Ruwais,load,2022-10-27,13852.6,7831.28,8002.86,11633.63,2758.64,0.0,USD,1.0
PC1009-D,VYG1009,Rotterdam,discharge,2022-11-22,13285.97,7104.61,8688.8,15655.55,3978.63,0.0,EUR,1.09
PC1010-L,VYG1010,Bonny,load,2022-12-06,11464.64,3063.05,5238.73,13258.37,2026.0,0.0,EUR,1.09
PC1010-D,VYG1010,Singapore,discharge,2023-01-01,17341.83,6742.13,9172.87,16914.02,1769.85,0.0,SGD,0.74
PC1011-L,VYG1011,Bonny,load,2023-01-12,16143.39,3008.31,10162.78,18957.95,3352.37,0.0,SGD,0.74
PC1011-D,VYG1011,,discharge,2023-01-25,16481.22,5363.79,12201.58,13218.27,2846.1,0.0,USD,1.0
PC1012-L,VYG1012,Basrah,load,2023-02-07,8560.52,4195.28,9477.95,5862.41,3213.59,0.0,SGD,0.74
PC1012-D,VYG1012,Houston,discharge,2023-02-22,16345.9,8493.77,5000.96,19032.15,1198.85,0.0,EUR,1.09
PC1013-L,VYG1013,Escravos,load,2023-02-28,12698.09,8014.7,4687.43,5255.89,1071.26,0.0,AED,0.27
PC1013-D,VYG1013,Rotterdam,discharge,2023-03-12,13068.99,7843.35,5256.69,6846.26,2696.62,0.0,AED,0.27
PC1014-L,VYG1014,Basrah,load,2023-03-23,10308.48,7356.68,13451.37,16435.53,3619.42,0.0,AED,0.27
PC1014-D,VYG1014,Rotterdam,discharge,2023-04-13,16268.78,4083.76,4667.87,14789.83,1152.0,368329.63,SGD,0.74
PC1015-L,VYG1015,Ruwais,load,2023-04-25,16868.4,7125.49,13476.93,9675.94,2450.28,0.0,USD,1.0
PC1015-D,VYG1015,Singapore,discharge,2023-05-05,15365.51,4441.82,9387.09,14842.37,3923.3,0.0,EUR,1.09
PC1016-L,VYG1016,Kharg Island,load,2023-05-20,15395.54,3696.42,8724.16,13785.46,1435.07,0.0,USD,1.0
PC1016-D,VYG1016,Singapore,discharge,2023-05-30,12278.6,4688.35,5170.98,12638.36,1491.91,0.0,SGD,0.74
PC1017-L,VYG1017,Escravos,load,2023-06-12,13859.02,4004.79,11198.5,7902.2,3676.56,0.0,EUR,1.09
PC1017-D,VYG1017,Qingdao,discharge,2023-07-05,8234.55,6111.54,7177.04,8348.23,2406.76,0.0,USD,1.0
