voyage_id,imo_number,vessel_name,vessel_type,cp_date,laycan_start,laycan_end,actual_load_date,actual_discharge_date,load_port,load_country,load_region,discharge_port,discharge_country,discharge_region,cargo_grade,cargo_qty_mt,charterer,sts_transfer,ballast_origin,laden_days,ballast_days
VYG1000,9481234,Nord Titan,VLCC,2022-01-01,2022-01-03,2022-01-07,2022-01-05,2022-01-28,Escravos,Nigeria,WAF,Rotterdam,Netherlands,NWE,Bonny Light,283971,Litasco,N,Ulsan,23,7
VYG1001,9481234,Nord Titan,VLCC,2022-02-02,2022-02-04,2022-02-08,2022-02-05,2022-03-06,Kharg Island,Iran,AG,Antwerp,Belgium,NWE,Arab Heavy,286623,Litasco,N,Rotterdam,29,8
VYG1002,9481234,Nord Titan,VLCC,2022-03-10,2022-03-17,2022-03-21,2022-03-18,2022-04-07,Escravos,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,282371,Chevron Products,N,Houston,20,6
VYG1003,9481234,Nord Titan,VLCC,2022-04-13,2022-04-19,2022-04-23,2022-04-20,2022-05-08,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Arab Light,279702,Vitol Group,N,Singapore,18,11
VYG1004,9481234,Nord Titan,VLCC,2022-05-12,2022-05-19,2022-05-23,2022-05-21,2022-06-05,Bonny,Nigeria,WAF,Ningbo,China,FEA,Bonny Light,273720,Saudi Aramco Trading,N,Singapore,15,9
VYG1005,9481234,Nord Titan,VLCC,2022-06-09,2022-06-16,2022-06-20,2022-06-17,2022-07-14,Escravos,Nigeria,WAF,Qingdao,China,FEA,Forcados,268939,Vitol Group,N,Houston,27,6
VYG1006,9481234,Nord Titan,VLCC,2022-07-20,2022-07-24,2022-07-28,2022-07-24,2022-08-13,Bonny,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,285388,Glencore Energy,N,Singapore,20,5
VYG1007,9481234,Nord Titan,VLCC,2022-08-19,2022-08-26,2022-08-30,2022-08-27,2022-09-12,Escravos,Nigeria,WAF,Ulsan,South Korea,FEA,Forcados,277159,Trafigura,N,Singapore,16,10
VYG1008,9481234,Nord Titan,VLCC,2022-09-17,2022-09-21,2022-09-25,2022-09-21,2022-10-14,Kharg Island,Iran,AG,Houston,USA,USGC,Basrah Light,283147,BP Oil International,N,Rotterdam,23,7
VYG1009,9481234,Nord Titan,VLCC,2022-10-23,2022-10-27,2022-10-31,2022-10-27,2022-11-22,Ruwais,UAE,AG,Rotterdam,Netherlands,NWE,Basrah Light,272459,Freepoint Commodities,N,Ulsan,26,10
VYG1010,9481234,Nord Titan,VLCC,2022-11-30,2022-12-04,2022-12-08,2022-12-06,2023-01-01,Bonny,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,283526,Litasco,N,Houston,26,7
VYG1011,9481234,Nord Titan,VLCC,2023-01-08,2023-01-10,2023-01-14,2023-01-12,2023-01-25,Bonny,Nigeria,WAF,,,,Forcados,286649,BP Oil International,Y,Antwerp,13,10
VYG1012,9481234,Nord Titan,VLCC,2023-02-01,2023-02-05,2023-02-09,2023-02-07,2023-02-22,Basrah,Iraq,AG,Houston,USA,USGC,Basrah Light,280125,Chevron Products,N,Singapore,15,10
VYG1013,9481234,Nord Titan,VLCC,2023-02-26,2023-02-28,2023-03-04,2023-02-28,2023-03-12,Escravos,Nigeria,WAF,Rotterdam,Netherlands,NWE,Bonny Light,277205,ExxonMobil Oil,N,Singapore,12,10
VYG1014,9481234,Nord Titan,VLCC,2023-03-19,2023-03-21,2023-03-25,2023-03-23,2023-04-13,Basrah,Iraq,AG,Rotterdam,Netherlands,NWE,Arab Heavy,279840,Freepoint Commodities,N,Rotterdam,21,9
VYG1015,9481234,Nord Titan,VLCC,2023-04-21,2023-04-24,2023-04-28,2023-04-25,2023-05-05,Ruwais,UAE,AG,Singapore,Singapore,SEA,Iranian Heavy,269536,ExxonMobil Oil,N,Ulsan,10,6
VYG1016,9481234,Nord Titan,VLCC,2023-05-11,2023-05-18,2023-05-22,2023-05-20,2023-05-30,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Basrah Light,271533,Vitol Group,N,Ulsan,10,5
VYG1017,9481234,Nord Titan,VLCC,2023-06-08,2023-06-11,2023-06-15,2023-06-12,2023-07-05,Escravos,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,286558,Chevron Products,N,Singapore,23,11
VYG1018,9481234,Nord Titan,VLCC,2023-07-12,2023-07-16,2023-07-20,2023-07-17,2023-08-04,Bonny,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,263799,TotalEnergies Trading,N,Houston,18,10
VYG1019,9481234,Nord Titan,VLCC,2023-08-08,2023-08-10,2023-08-14,2023-08-12,2023-09-05,Ruwais,UAE,AG,Singapore,Singapore,SEA,Arab Heavy,267942,ExxonMobil Oil,N,Ulsan,24,11
VYG1020,9481234,Nord Titan,VLCC,2023-09-12,2023-09-19,2023-09-23,2023-09-19,2023-10-08,Ras Tanura,Saudi Arabia,AG,Antwerp,Belgium,NWE,Arab Light,274512,Glencore Energy,N,Ulsan,19,9
VYG1021,9481234,Nord Titan,VLCC,2023-10-13,2023-10-16,2023-10-20,2023-10-18,2023-11-09,Ruwais,UAE,AG,Singapore,Singapore,SEA,Arab Light,265740,Vitol Group,N,Antwerp,22,6
VYG1022,9481234,Nord Titan,VLCC,2023-11-13,2023-11-17,2023-11-21,2023-11-19,2023-12-06,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,271069,ExxonMobil Oil,N,Houston,17,11
VYG1023,9481234,Nord Titan,VLCC,2023-12-14,2023-12-21,2023-12-25,2023-12-21,2024-01-15,Ruwais,UAE,AG,Qingdao,China,FEA,Iranian Heavy,276555,TotalEnergies Trading,N,Ulsan,25,9
VYG1024,9481234,Nord Titan,VLCC,2024-01-20,2024-01-22,2024-01-26,2024-01-22,2024-02-09,Kharg Island,Iran,AG,Antwerp,Belgium,NWE,Basrah Light,269170,Litasco,N,Antwerp,18,11
VYG1025,9481234,Nord Titan,VLCC,2024-02-17,2024-02-20,2024-02-24,2024-02-22,2024-03-14,Ruwais,UAE,AG,Ningbo,China,FEA,Iranian Heavy,288732,Gunvor Group,N,Singapore,21,4
VYG1026,9481234,Nord Titan,VLCC,2024-03-22,2024-03-26,2024-03-30,2024-03-28,2024-04-20,Kharg Island,Iran,AG,Ningbo,China,FEA,Iranian Heavy,280584,BP Oil International,N,Rotterdam,23,7
VYG1027,9481234,Nord Titan,VLCC,2024-04-24,2024-04-29,2024-05-03,2024-04-30,2024-05-11,Ras Tanura,Saudi Arabia,AG,Antwerp,Belgium,NWE,Arab Heavy,264364,Glencore Energy,N,Houston,11,5
VYG1028,9481234,Nord Titan,VLCC,2024-05-17,2024-05-20,2024-05-24,2024-05-20,2024-06-12,Bonny,Nigeria,WAF,Rotterdam,Netherlands,NWE,Forcados,280690,Mercuria Energy,N,Antwerp,23,5
VYG1029,9481234,Nord Titan,VLCC,2024-06-20,2024-06-23,2024-06-27,2024-06-23,2024-07-21,Ruwais,UAE,AG,Ningbo,China,FEA,Basrah Light,273491,Saudi Aramco Trading,N,Rotterdam,28,8
VYG1030,9481234,Nord Titan,VLCC,2024-07-28,2024-07-31,2024-08-04,2024-07-31,2024-08-13,Escravos,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,286523,ExxonMobil Oil,N,Antwerp,13,11
VYG1031,9481234,Nord Titan,VLCC,2024-08-17,2024-08-19,2024-08-23,2024-08-19,2024-09-07,Basrah,Iraq,AG,Houston,USA,USGC,Basrah Light,291161,BP Oil International,N,Ulsan,19,5
VYG1032,9481234,Nord Titan,VLCC,2024-09-14,2024-09-19,2024-09-23,2024-09-20,2024-10-16,Ruwais,UAE,AG,Antwerp,Belgium,NWE,Iranian Heavy,278688,Shell Trading,N,Ulsan,26,6
